date,outlet,transaction_count,total_revenue,avg_transaction_value,total_items,avg_basket_size,zero_value_transactions,day_name,day_of_week,is_weekend,month,tx_lag_1,rev_lag_1_x,tx_roll_mean_7,tx_roll_std_7,tx_diff_from_roll7,tx_zscore_roll7,tx_pct_change_1d,paid_revenue,rev_lag_1_y,rev_roll_mean_7,rev_roll_std_7,rev_diff_from_roll7,rev_zscore_roll7,rev_pct_change_1d,tx_spike_flag,tx_drop_flag,rev_spike_flag,rev_drop_flag,baseline_anomaly_flag,max_abs_zscore,anomaly_type
2025-01-05,SHOP001,90,2114000,23488.88888888889,106,1.1777777777777778,3,Sunday,6,1,1,99.0,2473000.0,94.0,10.44030650891055,-4.0,-0.3831304773912163,-0.0909090899908172,2114000,2473000.0,2357000.0,308797.6683849799,-243000.0,-0.786923040158009,-0.1451678123735765,0,0,0,0,0,0.786923040158009,Other
2025-01-06,SHOP001,82,1885000,22987.80487804878,90,1.0975609756097562,2,Monday,0,0,1,90.0,2114000.0,93.0,8.755950357709132,-11.0,-1.2562883861061092,-0.0888888879012345,1885000,2114000.0,2296250.0,279880.1826972869,-411250.0,-1.4693787750000535,-0.1083254493850008,0,0,0,0,0,1.4693787750000535,Other
2025-01-07,SHOP001,96,2472000,25750.0,111,1.15625,1,Tuesday,1,0,1,82.0,1885000.0,90.8,9.038805230781334,5.200000000000003,0.5752972093031034,0.1707317052349792,2472000,1885000.0,2214000.0,304261.4007724279,258000.0,0.8479550785744359,0.3114058355436013,0,0,0,0,0,0.8479550785744359,Other
2025-01-08,SHOP001,110,2646000,24054.545454545456,125,1.1363636363636365,1,Wednesday,2,0,1,96.0,2472000.0,91.66666666666669,8.358628276617322,18.33333333333333,2.1933420811734696,0.1458333318142361,2646000,2472000.0,2257000.0,291811.5830463212,389000.0,1.3330519506380198,0.0703883495145346,0,0,0,0,0,2.1933420811734696,Other
2025-01-09,SHOP001,72,1959000,27208.33333333333,85,1.1805555555555556,1,Thursday,3,0,1,110.0,2646000.0,94.28571428571428,10.30718658209384,-22.28571428571429,-2.162152780107558,-0.3454545423140496,1959000,2646000.0,2312571.4285714286,304267.8957447736,-353571.42857142864,-1.162039878393381,-0.2596371882085186,0,0,0,0,0,2.162152780107558,Other
2025-01-10,SHOP001,90,2113000,23477.777777777777,103,1.1444444444444444,7,Friday,4,0,1,72.0,1959000.0,92.85714285714286,12.707328219424824,-2.857142857142861,-0.2248421212519891,0.2499999965277778,2113000,1959000.0,2305714.285714286,312725.4995922752,-192714.2857142859,-0.616241035556507,0.0786115364981732,0,0,0,0,0,0.616241035556507,Other
2025-01-11,SHOP001,77,1931000,25077.92207792208,90,1.1688311688311688,2,Saturday,5,1,1,90.0,2113000.0,91.28571428571428,12.202653887772197,-14.285714285714292,-1.1707054257536569,-0.1444444428395062,1931000,2113000.0,2237428.571428572,291517.2134099216,-306428.57142857136,-1.051150866335398,-0.0861334595361636,0,0,0,0,0,1.1707054257536569,Other
2025-01-12,SHOP001,99,2365000,23888.88888888889,113,1.1414141414141414,4,Sunday,6,1,1,77.0,1931000.0,88.14285714285714,12.70732821942482,10.85714285714286,0.8544000607575583,0.2857142820037106,2365000,1931000.0,2160000.0,290497.2748007574,205000.0,0.7056864823943602,0.2247540134644097,0,0,0,0,0,0.8544000607575583,Other
2025-01-13,SHOP001,78,1908000,24461.53846153846,87,1.1153846153846154,1,Monday,0,0,1,99.0,2365000.0,89.42857142857143,13.364843718467029,-11.42857142857143,-0.8551219014748351,-0.2121212099785736,1908000,2365000.0,2195857.1428571427,299232.5898981308,-287857.1428571427,-0.961984598516416,-0.193234672304358,0,0,0,0,0,0.961984598516416,Other
2025-01-14,SHOP001,88,2213000,25147.727272727272,103,1.1704545454545454,1,Tuesday,1,0,1,78.0,1908000.0,88.85714285714286,13.813382055438984,-0.8571428571428612,-0.0620516244067642,0.1282051265614727,2213000,1908000.0,2199142.8571428573,295351.44521480886,13857.142857142724,0.0469174709709563,0.1598532494758072,0,0,0,0,0,0.0620516244067642,Other
