date,outlet,transaction_count,total_revenue,avg_transaction_value,total_items,avg_basket_size,zero_value_transactions,day_name,day_of_week,is_weekend,month,tx_lag_1,rev_lag_1_x,tx_roll_mean_7,tx_roll_std_7,tx_diff_from_roll7,tx_zscore_roll7,tx_pct_change_1d,paid_revenue,rev_lag_1_y,rev_roll_mean_7,rev_roll_std_7,rev_diff_from_roll7,rev_zscore_roll7,rev_pct_change_1d
2025-01-02,SHOP001,82,2007000,24475.60975609756,94,1.146341463414634,2,Thursday,3,0,1,,,,,,,,2007000,,,,,,
2025-01-03,SHOP001,101,2591000,25653.465346534653,122,1.207920792079208,5,Friday,4,0,1,82.0,2007000.0,,,,,0.2317073142474718,2591000,2007000.0,,,,,0.29098156452402046
2025-01-04,SHOP001,99,2473000,24979.79797979798,115,1.1616161616161615,3,Saturday,5,1,1,101.0,2591000.0,,,,,-0.019801980001960595,2473000,2591000.0,,,,,-0.045542261675011374
2025-01-05,SHOP001,90,2114000,23488.88888888889,106,1.1777777777777778,3,Sunday,6,1,1,99.0,2473000.0,94.0,10.44030650891055,-4.0,-0.38313047739121636,-0.09090908999081727,2114000,2473000.0,2357000.0,308797.6683849799,-243000.0,-0.786923040158009,-0.14516781237357657
2025-01-06,SHOP001,82,1885000,22987.80487804878,90,1.0975609756097562,2,Monday,0,0,1,90.0,2114000.0,93.0,8.755950357709132,-11.0,-1.2562883861061092,-0.08888888790123459,1885000,2114000.0,2296250.0,279880.1826972869,-411250.0,-1.4693787750000535,-0.1083254493850008
2025-01-07,SHOP001,96,2472000,25750.0,111,1.15625,1,Tuesday,1,0,1,82.0,1885000.0,90.8,9.038805230781334,5.200000000000003,0.5752972093031034,0.17073170523497921,2472000,1885000.0,2214000.0,304261.4007724279,258000.0,0.8479550785744359,0.31140583554360135
2025-01-08,SHOP001,110,2646000,24054.545454545456,125,1.1363636363636365,1,Wednesday,2,0,1,96.0,2472000.0,91.66666666666667,8.358628276617322,18.33333333333333,2.1933420811734696,0.14583333181423613,2646000,2472000.0,2257000.0,291811.5830463212,389000.0,1.3330519506380198,0.07038834951453464
2025-01-09,SHOP001,72,1959000,27208.33333333333,85,1.1805555555555556,1,Thursday,3,0,1,110.0,2646000.0,94.28571428571429,10.30718658209384,-22.285714285714292,-2.162152780107558,-0.34545454231404965,1959000,2646000.0,2312571.4285714286,304267.89574477356,-353571.42857142864,-1.162039878393381,-0.25963718820851867
2025-01-10,SHOP001,90,2113000,23477.777777777777,103,1.1444444444444444,7,Friday,4,0,1,72.0,1959000.0,92.85714285714286,12.707328219424825,-2.857142857142861,-0.22484212125198916,0.24999999652777782,2113000,1959000.0,2305714.285714286,312725.4995922752,-192714.2857142859,-0.616241035556507,0.07861153649817325
2025-01-11,SHOP001,77,1931000,25077.92207792208,90,1.1688311688311688,2,Saturday,5,1,1,90.0,2113000.0,91.28571428571429,12.202653887772197,-14.285714285714292,-1.1707054257536569,-0.1444444428395062,1931000,2113000.0,2237428.5714285714,291517.21340992156,-306428.57142857136,-1.0511508663353981,-0.08613345953616369
2025-01-12,SHOP001,99,2365000,23888.88888888889,113,1.1414141414141414,4,Sunday,6,1,1,77.0,1931000.0,88.14285714285714,12.70732821942482,10.857142857142861,0.8544000607575583,0.28571428200371063,2365000,1931000.0,2160000.0,290497.2748007574,205000.0,0.7056864823943602,0.22475401346440976
